dimension_type,dimension_code_or_name,dimension_label,official_mechanism_code,official_mechanism_label,source_row_count,distinct_partner_display_alias_count,source_row_numbers,fact_layer,human_gate,interpretation_limit
official_issue_field,11,国際協力及び国際交流に関する事業,6,後援,1,1,548,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,11,国際協力及び国際交流に関する事業,7,実行委員会等,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,11,国際協力及び国際交流に関する事業,8,事業協力,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,11,国際協力及び国際交流に関する事業,9,講師等,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,11,国際協力及び国際交流に関する事業,10,その他,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,12,男女共同参画社会の形成の促進を図る事業,1,委託,3,2,205;206;210,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,12,男女共同参画社会の形成の促進を図る事業,2,提案型公募による委託,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,12,男女共同参画社会の形成の促進を図る事業,3,指定管理者制度による委任,1,1,207,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,12,男女共同参画社会の形成の促進を図る事業,4,補助,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,12,男女共同参画社会の形成の促進を図る事業,5,共催,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,12,男女共同参画社会の形成の促進を図る事業,6,後援,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,12,男女共同参画社会の形成の促進を図る事業,7,実行委員会等,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,12,男女共同参画社会の形成の促進を図る事業,8,事業協力,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,12,男女共同参画社会の形成の促進を図る事業,9,講師等,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,12,男女共同参画社会の形成の促進を図る事業,10,その他,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,13,子どもの教育及び健全育成を図る事業,1,委託,11,8,145;146;147;148;149;150;163;168;169;173;174,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,13,子どもの教育及び健全育成を図る事業,2,提案型公募による委託,22,17,84;85;86;143;144;151;152;153;154;155;156;157;158;159;160;161;162;187;188;340;500;502,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,13,子どもの教育及び健全育成を図る事業,3,指定管理者制度による委任,1,1,175,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,13,子どもの教育及び健全育成を図る事業,4,補助,3,3,517;535;536,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,13,子どもの教育及び健全育成を図る事業,5,共催,7,4,524;557;590;597;605;606;607,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
